id;choco_name;choco_price;choco_gt_20_price;choco_gt_60_price;choco_pic;choco_dir;choco_art;available;description;category_id;subcategory_id
57;Кружка из бересты с рисунком;460.00;0.00;0.00;Кружка из бересты_tn.jpg;057;;1;Кружка из бересты, для мужской компании, объём 0,5 литра. Донышко залито воском;2;1
58;Лапти из бересты;495.00;0.00;0.00;Лапти из бересты_tn.jpg;058;;1;;2;9
59;Набор туесов из бересты для продуктов;2737.00;0.00;0.00;Набор туесов из бересты для продуктов 1_tn.jpg;059;;1;Набор из 7 вместительных туесов отличного качества;2;3
60;Оберег из бересты;160.00;0.00;0.00;Оберег из бересты_tn.jpg;060;;1;;2;9
61;Подставка под горячее "Дары природы";155.00;0.00;0.00;Подставка под горячее Дары природы_tn.jpg;061;;1;;2;1
62;Сухарница из бересты "Самовар";560.00;0.00;0.00;Сухарница из бересты Самовар 1_tn.jpg;062;;1;Красивая сухарница поможет заботливой хозяйке украсить свой обеденный стол;2;4
63;Тарелка из бересты "Кедр";476.00;0.00;0.00;Тарелка из бересты Кедр 1_tn.jpg;063;;1;Тарелка прекрасного качества, выполнена тиснением. Сохранит тепло и хорошее настроение в вашем доме;2;2
64;Тарелка из бересты "Цветочек";425.00;0.00;0.00;Тарелка из бересты Цветочек 1_tn.jpg;064;;1;;2;2
65;Туес из бересты "Важенка";612.00;0.00;0.00;Туес из бересты Важенка 1_tn.jpg;065;;1;;2;3
66;Туес из бересты "Курочка ряба";1020.00;0.00;0.00;Туес из бересты Курочка ряба_tn.jpg;066;;1;;2;3
67;Туес из бересты "Лоси";480.00;0.00;0.00;Туес из бересты Лоси 1_tn.jpg;067;;1;Туес отличного качества, крышка и донышко из кедра;2;3
68;Шкатулка из бересты "Валлота";1020.00;0.00;0.00;Шкатулка из бересты Валлота_tn.jpg;068;;1;;2;6
69;Шкатулка из бересты "Фортуна";357.00;0.00;0.00;Шкатулка из бересты Фортуна 1_tn.jpg;069;;1;;2;6
70;Шкатулка из бересты "Шишки";1615.00;0.00;0.00;Шкатулка из бересты Шишки 1_tn.jpg;070;;1;;2;6
71;Шкатулка из бересты "Розочка";357.00;0.00;0.00;Шкатулка Розочка 1_tn.jpg;071;;1;;2;6
72;Деревянный автомобиль (средний);525.00;0.00;0.00;Деревянный автомобиль (средний).jpg;72;;1;;3;1
73;Деревянный автомобиль (малый);375.00;0.00;0.00;Деревянный автомобиль (малый).jpg;73;;1;;3;1
74;Деревянный автомобиль (большой);690.00;0.00;0.00;Деревянный автомобиль (большой).jpg;74;;1;;3;1
75;Деревянный Грузовик;525.00;0.00;0.00;Деревянный Грузовик.jpg;75;;1;;3;1
76;Деревянный Джип;450.00;0.00;0.00;Деревянный Джип.jpg;76;;1;;3;1
77;Деревянный Грузовичок;450.00;0.00;0.00;Деревянный Грузовичок.jpg;77;;1;;3;1
78;Деревянный Грузовик с бочкой;450.00;0.00;0.00;Деревянный Грузовик с бочкой.jpg;78;;1;;3;1
79;Деревянный Ретро автомобиль;450.00;0.00;0.00;Деревянный Ретро автомобиль.jpg;79;;1;;3;1
80;Деревянный самолет большой;990.00;0.00;0.00;Деревянный самолет большой.jpg;80;;1;;3;1
81;Деревянный самолет средний;750.00;0.00;0.00;Деревянный самолет средний.jpg;81;;1;;3;1
82;Деревянный самолет малый;600.00;0.00;0.00;Деревянный самолет малый.jpg;82;;1;;3;1
83;Подвеска Лапти;190.00;0.00;0.00;Подвеска Лапти.jpg;83;;1;;3;1
84;Подвеска Мешок;190.00;0.00;0.00;Подвеска Мешок.jpg;84;;1;;3;1
85;Подвеска Перчатки;190.00;0.00;0.00;Подвеска Перчатки.jpg;85;;1;;3;1
86;Подвески Ботинки;150.00;0.00;0.00;Подвески Ботинки.jpg;86;;1;;3;1
87;Подставка Дуб;240.00;0.00;0.00;Подставка Дуб.jpg;87;;1;;3;1
88;Подставка Клён;240.00;0.00;0.00;Подставка Клён.jpg;88;;1;;3;1
89;Подставка Перо;240.00;0.00;0.00;Подставка Перо.jpg;89;;1;;3;1
90;Подставка Снежинка;280.00;0.00;0.00;Подставка Снежинка.jpg;90;;1;;3;1
91;Подставка Срез 22см;190.00;0.00;0.00;Подставка Срез 22см.jpg;91;;1;;3;1
92;Подставка Срез 20см;180.00;0.00;0.00;Подставка Срез 20см.jpg;92;;1;;3;1
93;Подставка Срез 15см;130.00;0.00;0.00;Подставка Срез 15см.jpg;93;;1;;3;1
94;Браслет из плодовых пород деревьев;210.00;0.00;0.00;Браслет из плодовых пород деревьев.jpg;94;;1;;3;1
95;Копилка "Мельница";750.00;0.00;0.00;Копилка Мельница.jpg;95;;1;;3;1
96;Копилка "Туалет";450.00;0.00;0.00;Копилка Туалет.jpg;96;;1;;3;1
97;Копилка "Туалет" двойной;750.00;0.00;0.00;Копилка Туалет двойной.jpg;97;;1;;3;1
98;Бижутерка "Святая Русь";260.00;0.00;0.00;Бижутерка Святая Русь.jpg;100;;1;;2;6
99;Туес из бересты "Гном" Ø10;380.00;0.00;0.00;Туес из бересты Гном.jpg;101;;1;;2;3
100;Тарелка из бересты "Подсолнухи";560.00;0.00;0.00;Тарелка из бересты Подсолнухи.jpg;102;;1;;2;2
101;Тарелка из бересты "Жар птица";560.00;0.00;0.00;Тарелка из бересты Жар птица.jpg;103;;1;;2;2
102;Шкатулка из бересты "Тройка";1300.00;0.00;0.00;Шкатулка из бересты Тройка.jpg;104;;1;;2;6
103;Шкатулка из бересты "Город";740.00;0.00;0.00;Шкатулка из бересты Город.jpg;105;;1;;2;6
104;Шкатулка из бересты "Лебедь" ;560.00;0.00;0.00;Шкатулка из бересты Лебедь.jpg;106;;1;;2;6
105;Шкатулка из бересты "Аленький цветочек";420.00;0.00;0.00;Шкатулка из бересты Аленький цветочек.jpg;107;;1;;2;6
106;Шкатулка из бересты "Голубка";700.00;0.00;0.00;Шкатулка из бересты Голубка.jpg;108;;1;;2;6
107;Бижутерка "Лоси";260.00;0.00;0.00;Бижутерка Лоси.jpg;109;;1;;2;6
108;Шкатулка из бересты "Кедровая";380.00;0.00;0.00;Шкатулка из бересты Кедровая.jpg;110;;1;;2;6
109;Тарелка квадратная Глухарь;720.00;0.00;0.00;Тарелка квадратная Глухарь.jpg;111;;1;;2;2
110;Тарелка квадратная Вьюнок;720.00;0.00;0.00;Тарелка квадратная Вьюнок.jpg;112;;1;;2;2
111;Зажигалка Байкальская Нерпа;106.00;0.00;0.00;Зажигалка Байкальская Нерпа.jpg;113;;1;;2;9
112;Зажигалка Рыбак;106.00;0.00;0.00;Зажигалка Рыбак.jpg;114;;1;;2;9
113;Фляжка (береста + стекло) Плетенка 0,25 л;440.00;0.00;0.00;Фляжка Плетенка.jpg;115;;1;;2;5
114;Фляжка Легенда Байкала 0,25л;440.00;0.00;0.00;Фляжка Легенда Байкала.jpg;116;;1;;2;5
115;Фляжка Байкальская нерпа 0,25л;440.00;0.00;0.00;Фляжка Байкальская нерпа.jpg;117;;1;;2;5
116;Набор Соль и Перец, Рябина;400.00;0.00;0.00;Набор Соль и Перец, Рябина.jpg;118;;1;;2;9
117;Набор соль и перец, Желуди;400.00;0.00;0.00;Набор соль и перец, Желуди.jpg;119;;1;;2;9
118;Набор соль и перец, Белочка;400.00;0.00;0.00;Набор соль и перец, Белочка.jpg;120;;1;;2;9
119;Тарелка овальная Грибы;720.00;0.00;0.00;Тарелка овальная Грибы.jpg;121;;1;;2;2
120;Тарелка овальная Птица с шишкой;720.00;0.00;0.00;Тарелка овальная Птица с шишкой.jpg;122;;1;;2;2
121;Тарелка круглая резная Олень;520.00;0.00;0.00;Тарелка круглая резная Олень.jpg;123;;1;;2;2
122;Тарелка круглая резная Глухарь;520.00;0.00;0.00;Тарелка круглая резная Глухарь.jpg;124;;1;;2;2
123;Тарелка круглая резная Лось;520.00;0.00;0.00;Тарелка круглая резная Лось.jpg;125;;1;;2;2
124;Шкатулка Ангел;380.00;0.00;0.00;Шкатулка Ангел.jpg;129;;1;;2;6
125;Шкатулка Лебеди;380.00;0.00;0.00;Шкатулка Лебеди.jpg;127;;1;;2;6
126;Шкатулка Виноград;380.00;0.00;0.00;Шкатулка Виноград.jpg;128;;1;;2;6
127;Шкатулка Олени;380.00;0.00;0.00;Шкатулка Олени.jpg;126;;1;;2;6
128;Шкатулка Белочка;380.00;0.00;0.00;Шкатулка Белочка.jpg;130;;1;;2;6
129;Шкатулка Филин;380.00;0.00;0.00;Шкатулка Филин.jpg;131;;1;;2;6
130;Подкова береста с камнем;111.00;0.00;0.00;Подкова береста с камнем.jpg;132;;1;;2;9
131;Подкова на счастье (ассортимент);101.00;0.00;0.00;Подкова на счастье (ассортимент).jpg;133;;1;;2;9
132;Расческа береста «Байкал»;110.00;0.00;0.00;Расческа береста Байкал.jpg;134;;1;;2;7
133;Массажка береста лак малая;250.00;0.00;0.00;Массажка береста лак малая.jpg;135;;1;;2;7
134;Массажка береста лак большая;280.00;0.00;0.00;Массажка береста лак большая.jpg;136;;1;;2;7
135;Туес «Соль» малая 8*12;420.00;0.00;0.00;Туес Соль малая.jpg;137;;1;;2;3
136;Туес «Соль» средняя 10*12;450.00;0.00;0.00;Туес Соль средняя.jpg;138;;1;;2;3
137;Туес «Чай» средняя 10*12;450.00;0.00;0.00;Туес Чай средняя.jpg;139;;1;;2;3
138;Зеркало круглое "Цветы";230.00;0.00;0.00;Зеркало круглое Цветы.jpg;140;;1;Маленькое круглое карманное зеркальце в берестяной оправе;2;9
139;Зеркало квадратное на ручке "Цветы";345.00;0.00;0.00;Зеркало квадратное на ручке Цветы.jpg;141;;1;Детали зеркала полностью изготовлены из бересты. Рисунок на бересте тиснёный, прекрасно детализирован.;2;9
140;Зеркало квадратное "Цветы";230.00;0.00;0.00;Зеркало квадратное Цветы.jpg;142;;1;;2;9
141;Зеркало круглое на ручке "Цветы";345.00;0.00;0.00;Зеркало круглое на ручке Цветы.jpg;143;;1;;2;9
142;Расческа "Цветы";150.00;0.00;0.00;Расческа Цветы.jpg;144;;1;;2;7
143;Расческа массажная "Цветы";320.00;0.00;0.00;Расческа массажная Цветы.jpg;145;;1;;2;7
144;Шкатулка под купюры "Доллар";1080.00;0.00;0.00;Шкатулка под купюры Доллар.jpg;146;;1;;2;6
145;Шкатулка под купюры "Евро";1080.00;0.00;0.00;Шкатулка под купюры Евро.jpg;147;;1;;2;6
